"","Station","median","igr","gmean","p90","nlog","median_ml","iqr_ml","gmean_ml","p90_ml","nlog_ml"
"95","WJ051.00",2,2,3.54131374935232,16.1,30,0.628119256656236,3.39413340147757,1.80567358401897,16.1,30
"96","WJ055.00",2,0,2.25375522038165,2.2,30,0.6193451595226,0.0270177528297815,0.844286323497749,2.2,30
"97","WJ056.00",2,0,2.62664303106162,4,31,0.609234992087434,0.0363376201880728,1.03594215686848,4,31
"98","WJ057.00",2,0,2.59534348928891,7.48,30,0.619505497828681,1.39952718430402,1.13269797957904,7.48,30
"99","WJ058.00",2,16.5,6.01042669688476,74.6,30,1.31156813984935,17.8957452067349,3.29564257582379,74.6,30
"100","WJ059.00",2,0,2.34633609943693,5.55,30,0.629086407514835,0.0402516448709525,0.951929076731654,5.55,30
"101","WJ060.00",2,0,3.12593909718634,8,31,0.626832155581125,1.39539964945328,1.40429355596989,8,31
"102","WJ062.00",2,0,2.64736523253918,4,53,0.616916202936261,0.0416994533965473,1.0555145113624,4,53
"103","WJ063.00",2,0,2.31211542171911,3.6,53,0.622428881272648,1.39518755137452,0.969525217933004,3.6,53
"104","WJ064.00",2,0,2.6792904310207,4,53,0.62061909515245,1.39628217001881,1.17189171571507,4,53
"105","WJ065.00",2,0,2.66096691832463,6,54,0.632827611907048,1.39112223046748,1.29593119043078,6,54
"106","WJ066.00",2,1.5,3.13054396479676,9.40000000000001,54,0.642452544491124,2.88747077364523,1.62738797535964,9.40000000000001,54
"107","WJ067.00",2,0,3.51767145668866,16.6000000000001,30,0.618279263772988,1.39130118928051,1.65983912906843,16.6000000000001,30
"108","WJ068.50",2,2,2.96699240852425,6.31,30,0.619913993674495,3.39407676704073,1.45066028704405,6.31,30
"109","WJ070.00",2,1.5,2.88768822653259,9.1,30,0.619916042680507,2.89477501816658,1.26047978285416,9.1,30
"110","WK002.00",2,0,3.33468992052549,7.60000000000001,32,0.616051201084068,1.39358334681957,1.42291074259389,7.60000000000001,32
"111","WK004.00",2,0,2.58845337409185,4,32,0.621681451767349,1.38706456323753,1.11014473980941,4,32
"112","WK005.50",2,0.5,2.69935527058022,5.95,32,0.627017335258525,1.89409896113562,1.33493736802711,5.95,32
"113","WK007.00",2,0,2.27886063840179,2,33,0.61569462979254,0.022851326750667,0.86616099815328,2,33
"114","WK007.10",5.65,27.5,8.52545560833809,40,32,5.65,28.888618942475,5.25634913923497,40,32
"115","WK008.00",2,4.325,3.6747537924229,12.71,32,2,5.71134515552539,2.26551996039746,12.71,32
"116","WK009.00",2,7.325,4.24821748449243,23.6,32,0.630718333489969,8.71378305607011,2.26165871047392,23.6,32
"117","WK010.00",2,4,3.81952660380987,34.4,32,0.635644314502831,5.38717234624639,1.90123631209179,34.4,32
"118","WK011.00",4,10,5.45241715846518,34.6,57,4,11.3917942975252,3.3658793832727,34.6,57
"119","WK012.00",2,2.375,3.27287262096228,8.99,32,0.62966463471933,3.77247305445285,1.61417215110528,8.99,32
"120","WK013.10",2,0,2.96068747040923,4,32,0.622284958681061,1.39651891191699,1.31067005833652,4,32
"121","WK013.20",2,0,2.51645702727661,6,31,0.625359181806168,0.712981897773207,1.04644966398524,6,31
"122","WK013.30",2,3,4.80527582020261,24.7,32,0.630632264917981,4.38890482948351,2.46139553988604,24.7,32
"123","WK014.00",2,0,2.52088574214856,6,30,0.631876912312368,1.38403341845685,1.24177077419636,6,30
"124","WK014.10",4,4.325,5.06481166256923,30.5,56,4,5.69763609190136,3.39455343185152,30.5,56
"125","WK014.20",2,0,2.27547134203812,2.2,30,0.621034429713654,1.3912876490166,0.993854236851664,2.2,30
"126","WK014.30",2,0,2.454924786116,4.2,30,0.620719674302712,1.06055298022235,1.02682496717423,4.2,30
"127","WK014.40",2,0,2.13603195550262,2.16,30,0.606084071290818,0.0290197728590706,0.820531891067366,2.16,30
"128","WK015.10",2,0,3.49906353086605,21.2,32,0.628834699051881,1.40315292011713,1.66163578155899,21.2,32
"129","WK017.00",2,8.5,5.23256262694894,33.6000000000001,39,2,9.88748357231942,3.11293489928163,33.6000000000001,39
"130","WK018.00",2,0,2.25375522038165,4,30,0.615963776576134,1.06079928995193,0.943713308531566,4,30
"131","WK018.10",2,0,2.4265009200776,4.2,30,0.62878403873136,1.3914381819416,1.06233494583468,4.2,30
"132","WK019.80",2,1,3.51379891079002,19.8,32,1.32450019306674,2.39368097273194,1.93089935131986,19.8,32
"133","WK022.00",2,0,2.18905796429108,2,32,0.616389555931981,1.39767664438859,0.963122899150101,2,32
"134","WK023.00",2,7.1,5.15129298331565,81.6,39,2,8.48680481360346,2.88673999151189,81.6,39
"135","WK023.10",2,0,2.81690347745795,13.6,33,0.633624701984127,1.38952232551901,1.37625625031062,13.6,33
"136","WK023.20",2,0,2.42559776806327,5.60000000000001,32,0.628632970395756,1.38551235595139,1.1620751674266,5.60000000000001,32
"137","WK024.00",2,3.125,4.40239717920334,49,46,2,4.5061726840609,2.50195154944135,49,46
"138","WK025.00",2,10,5.3004486351337,32,36,2,11.3880898829392,3.12408775323249,32,36
"139","WK042.00",2,0,3.19956683976352,9.46,33,0.629761884143758,1.39350797438528,1.56151207028114,9.46,33
"140","WK044.00",2,0,2.88302432631696,4,33,0.625457002854309,1.39753202623437,1.35218680780619,4,33
"141","WK044.50",2,0,2.54866531667103,3.28,33,0.615873866239003,1.39728159814083,1.15115463214223,3.28,33
"142","WK048.00",2,4,4.23322477418348,13.02,33,2,5.39203750534797,2.46907239508673,13.02,33
"143","WK052.00",2,0,2.86410081842795,5.6,33,0.621140619443457,1.39052753086329,1.34257471642628,5.6,33
"144","WK052.10",4,33,9.27696330682071,114,33,4,33,6.95701064012479,114,33
"145","WK052.80",2,13,5.07463904940479,41.6,33,2,14.3886872788527,2.85592489342604,41.6,33
"146","WK052.90",2,2,5.45640572634253,48,33,0.634831361928713,3.39147920911121,2.84822673239879,48,33
"147","WK053.00",2,7.5,4.87440272399305,36.6000000000001,82,2,8.89127291002574,2.72792275225527,36.6000000000001,82
"148","WK053.50",2,0.8,3.34998141186345,13,51,0.647763888261395,2.19162517595821,1.78899572605374,13,51
"149","WK054.50",2,0,2.5311820765453,5.6,33,0.617105062258066,0.032836224778598,0.998902772899571,5.6,33
"150","WK055.00",2,4.325,4.27295747033851,21.3,52,2,5.71220525474524,2.53387405651659,21.3,52
"151","WK056.00",2,4,4.51647722572796,35,51,0.645403529524726,5.39233687834406,2.46507810546577,35,51
"152","WK057.00",2,0,2.52867559164587,3.96,52,0.619085253556973,0.0384761644451217,0.992704160364978,3.96,52
"153","WK058.00",2,0,2.99346193030647,10,50,0.628662575550648,1.38937492286073,1.43782300267936,10,50
"154","WK059.20",2,0,2.69364048619367,7.3,51,0.629542215570374,1.38897924544934,1.19872256451776,7.3,51
"155","WK061.00",2,1.5,3.14823836910799,12,50,0.628429288501806,2.89044963534333,1.47600115763321,12,50
"156","WK063.00",2,5.3,3.59542835923726,15,53,0.636057954594258,6.68374603853227,1.92947572932141,15,53
"157","WK063.20",2,2,3.35722784728231,11.2,35,2,3.39006245970451,1.8838517984231,11.2,35
"158","WK064.10",2,0,3.50119842777936,12.4,35,0.616688244866318,1.39634037976635,1.60265799447975,12.4,35
"159","WK065.00",2,4.65,4.05479850790589,21.6,35,2,6.03670212603918,2.28654662715163,21.6,35
"160","WK066.00",2,4,4.82463782753703,23.2,50,1.31833095619387,5.39135680430985,2.65902721015108,23.2,50
"161","WK067.00",2,2.5,4.01249789177253,25.3,48,0.638942179202984,3.89248010683523,2.10900877252896,25.3,48
"162","WK068.00",2,25.675,7.27554724670245,79.9000000000001,48,2,27.0601801911334,4.5606035980815,79.9000000000001,48
"163","WK068.10",2,1.8,3.0440739923227,10.9,31,0.633419963496787,3.19176771784973,1.58919389824387,10.9,31
"164","WL005.00",2,0,2.93840944638947,10,31,0.64037371916643,1.39516813002884,1.58928821494095,10,31
"165","WL006.00",2,1,2.99276557868781,9.1,31,0.629036445804689,2.39861314973722,1.39097405324662,9.1,31
"166","WL007.00",2,0,2.68201950308678,7.75000000000001,32,0.623209424605837,1.39644869167138,1.14453821610128,7.75000000000001,32
"167","WL010.00",2,0,2.83163829781281,8,31,0.626979883669429,1.39004453365254,1.32002516341497,8,31
"168","WL011.00",2,0,2.80241566484375,8,31,0.617430044729374,1.39272980528481,1.25060350424872,8,31
"169","WL012.00",2,7.1,4.94529928601713,44,33,0.639460727415332,8.49170260164567,2.59344300748322,44,33
"170","WL014.00",2,2,3.57904019761035,11.78,33,2,3.38764339303385,2.01407567646192,11.78,33
"171","WL015.00",2,6,5.24737592932204,24.8,37,2,7.38972737216932,3.14324131789473,24.8,37
"172","WL018.00",2,13,5.85126546923851,51,36,2,14.3822478080806,3.35359129041936,51,36
"173","WL019.00",2,6.5,4.73668976416139,36.2,44,0.636250500732489,7.89305819548287,2.54076846935766,36.2,44
